URL,Page Type,District,Neighborhood,Service,Status,Title Score,Title Issues,Title Suggestion,H1 Score,H1 Issues,H1 Suggestion,Meta Score,Meta Issues,Meta Suggestion,Overall Score,Priority
https://dryallekurutemizleme.com/,Homepage,,,,Exists,75,Title too long (>60 chars); Missing keywords: istanbul,İstanbul Kuru Temizleme Halı Yıkama Koltuk Yıkama | Dry Alle,90,H1 too long (>70 chars),"İstanbul Anadolu Yakası Kuru Temizleme, Halı ve Koltuk Yıkama",100,,"İstanbul Anadolu Yakası'nda 25 yıllık deneyimle kuru temizleme, halı yıkama, koltuk yıkama. Kadıköy ve Ataşehir'e ücretsiz teslimat. Hemen arayın!",88.3,Low
https://dryallekurutemizleme.com/hizmetler/,Service Hub,,,,Create,75,Title too long (>60 chars); Missing keywords: istanbul,Kuru Temizleme Hizmetleri İstanbul | Kadıköy Ataşehir | Dry Alle,100,,Optimized H1 needed,85,No clear call-to-action,Optimized meta description needed,86.7,Low
https://dryallekurutemizleme.com/hizmetler/kuru-temizleme.html,Service Page,,,Kuru Temizleme,Exists,90,Missing keywords: istanbul,İstanbul Kuru Temizleme Hizmeti | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Kuru Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel kuru temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/gelinlik-temizleme.html,Service Page,,,Gelinlik Temizleme,Create,90,Missing keywords: istanbul,Gelinlik Temizleme İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Gelinlik Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel gelinlik temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/abiye-temizleme.html,Service Page,,,Abiye Temizleme,Create,90,Missing keywords: istanbul,Abiye Temizleme İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Abiye Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel abiye temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/valiz-temizleme.html,Service Page,,,Valiz Temizleme,Create,90,Missing keywords: istanbul,Valiz Temizleme İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Valiz Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel valiz temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/bavul-temizleme.html,Service Page,,,Bavul Temizleme,Create,90,Missing keywords: istanbul,Bavul Temizleme İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Bavul Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel bavul temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/hali-yikama.html,Service Page,,,Halı Yıkama,Exists,90,Missing keywords: istanbul,Halı Yıkama İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Halı Yıkama Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel halı yıkama hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/koltuk-yikama.html,Service Page,,,Koltuk Yıkama,Exists,90,Missing keywords: istanbul,Koltuk Yıkama İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Koltuk Yıkama Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel koltuk yıkama hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/perde-temizleme.html,Service Page,,,Perde Temizleme,Exists,90,Missing keywords: istanbul,Perde Temizleme İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Perde Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel perde temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/ev-tekstili-temizligi.html,Service Page,,,Ev Tekstili Temizliği,Exists,90,Missing keywords: istanbul,Ev Tekstili Temizliği İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Ev Tekstili Temizliği Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel ev tekstili temizliği hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/canta-temizleme.html,Service Page,,,Çanta Temizleme,Exists,90,Missing keywords: istanbul,Çanta Temizleme İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Çanta Temizleme Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel çanta temizleme hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/kumas-deri-boyama.html,Service Page,,,Kumaş Deri Boyama,Exists,90,Missing keywords: istanbul,Kumaş Deri Boyama İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Kumaş Deri Boyama Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel kumaş deri boyama hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/lostra-hizmeti.html,Service Page,,,Lostra Hizmeti,Exists,90,Missing keywords: istanbul,Lostra Hizmeti İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Lostra Hizmeti Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel lostra hizmeti hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/hizmetler/utu-hizmetleri.html,Service Page,,,Ütü Hizmetleri,Exists,90,Missing keywords: istanbul,Ütü Hizmetleri İstanbul | Kadıköy Ataşehir | Dry Alle,100,,İstanbul Ütü Hizmetleri Hizmeti - Kadıköy ve Ataşehir,85,No clear call-to-action,"İstanbul'da profesyonel ütü hizmetleri hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat, 25 yıllık deneyim. Hemen randevu alın!",91.7,Low
https://dryallekurutemizleme.com/bolgeler/kadikoy/,District Hub,Kadıköy,,,Create,75,Title too long (>60 chars); Missing keywords: istanbul,Kadıköy Kuru Temizleme Halı Yıkama | Dry Alle İstanbul,100,,Kadıköy Kuru Temizleme ve Tekstil Hizmetleri,85,No clear call-to-action,"Kadıköy'de kuru temizleme, halı yıkama, koltuk yıkama hizmetleri. 25 yıllık deneyim, ücretsiz alma-getirme. Tüm semtlere hizmet.",86.7,Low
