url,page_type,file_path,current_title,target_title,current_meta,target_meta,improvements_needed,priority,estimated_hours,impact_score,tasks,has_schema,phone_ctas,whatsapp_ctas,migration_status
https://dryallekurutemizleme.com/,Homepage,/Users/macos/Documents/Projeler/DryAlle/index.html,Kuru Temizleme Halı Yıkama Koltuk Yıkama İstanbul Kadıköy Ataşehir | Dry Alle,Kuru Temizleme Halı Yıkama Koltuk Yıkama İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Anadolu Yakası'nda 25 yıllık deneyimle kuru temizleme, halı yıkama, koltuk yıkama hizmeti. Kadıköy ve Ataşehir'e ücretsiz teslimat. Hemen arayın!",2,High,0.5,45.0,Optimize meta description,True,4,3,Pending
https://dryallekurutemizleme.com/hizmetler/kuru-temizleme.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/kuru-temizleme.html,Kuru Temizleme Hizmeti İstanbul Kadıköy Ataşehir | Dry Alle Kuru Temizleme,Kuru Temizleme İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul Kadıköy ve Ataşehir,"İstanbul Kadıköy ve Ataşehir'de profesyonel kuru temizleme hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",4,High,3.0,132.5,Optimize meta description; Add WhatsApp CTAs; Add loading attributes to images,True,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/hali-yikama.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/hali-yikama.html,Halı Yıkama Hizmeti İstanbul Kadıköy Ataşehir | Dry Alle Kuru Temizleme,Halı Yıkama İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul Kadıköy ve Ataşehir,"İstanbul Kadıköy ve Ataşehir'de profesyonel halı yıkama hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",4,High,3.0,132.5,Optimize meta description; Add WhatsApp CTAs; Add loading attributes to images,True,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/koltuk-yikama.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/koltuk-yikama.html,Koltuk Yıkama Hizmeti İstanbul Kadıköy Ataşehir | Dry Alle Kuru Temizleme,Koltuk Yıkama İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul Kadıköy ve Ataşehir,"İstanbul Kadıköy ve Ataşehir'de profesyonel koltuk yıkama hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",4,High,3.0,132.5,Optimize meta description; Add WhatsApp CTAs; Add loading attributes to images,True,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/perde-temizleme.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/perde-temizleme.html,Perde Temizleme İstanbul Acıbadem Suadiye | Dry Alle Kuru Temizleme,Perde Temizleme İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Kadıköy ve Ataşehir'de profesyonel perde temizleme hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",4,High,3.0,132.5,Optimize meta description; Add WhatsApp CTAs; Add loading attributes to images,True,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/ev-tekstili-temizligi.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/ev-tekstili-temizligi.html,Ev Tekstili Temizliği İstanbul Acıbadem Suadiye | Dry Alle Kuru Temizleme,Ev Tekstili Temizliği İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Kadıköy ve Ataşehir'de profesyonel ev tekstili temizliği hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",4,High,3.0,132.5,Optimize meta description; Add WhatsApp CTAs; Add loading attributes to images,True,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/canta-temizleme.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/canta-temizleme.html,Çanta Temizleme İstanbul Acıbadem Suadiye | Dry Alle Kuru Temizleme,Çanta Temizleme İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Kadıköy ve Ataşehir'de profesyonel çanta temizleme hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",5,High,4.0,195.0,Optimize meta description; Add WhatsApp CTAs; Add schema markup; Add loading attributes to images,False,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/kumas-deri-boyama.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/kumas-deri-boyama.html,Kumaş ve Deri Boyama İstanbul Acıbadem Suadiye | Dry Alle Kuru Temizleme,Kumaş Deri Boyama İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Kadıköy ve Ataşehir'de profesyonel kumaş deri boyama hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",4,High,3.0,132.5,Optimize meta description; Add WhatsApp CTAs; Add loading attributes to images,True,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/lostra-hizmeti.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/lostra-hizmeti.html,Lostra Hizmeti İstanbul Acıbadem Suadiye | Dry Alle Kuru Temizleme,Lostra Hizmeti İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Kadıköy ve Ataşehir'de profesyonel lostra hizmeti hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",5,High,4.0,195.0,Optimize meta description; Add WhatsApp CTAs; Add schema markup; Add loading attributes to images,False,3,0,Pending
https://dryallekurutemizleme.com/hizmetler/utu-hizmetleri.html,Service Page,/Users/macos/Documents/Projeler/DryAlle/hizmetler/utu-hizmetleri.html,Ütü Hizmetleri İstanbul Acıbadem Suadiye | Dry Alle Kuru Temizleme,Ütü Hizmetleri İstanbul Kadıköy Ataşehir | Dry Alle,İstanbul,"İstanbul Kadıköy ve Ataşehir'de profesyonel ütü hizmetleri hizmeti. 25 yıllık deneyim, ücretsiz teslimat. Anadolu Yakası'nın tüm semtlerine hizmet.",5,High,4.0,195.0,Optimize meta description; Add WhatsApp CTAs; Add schema markup; Add loading attributes to images,False,3,0,Pending
https://dryallekurutemizleme.com/bolgeler/kadikoy/moda-koltuk-yikama.html,Location Landing,/Users/macos/Documents/Projeler/DryAlle/bolgeler/kadikoy/moda-koltuk-yikama.html,,Moda Koltuk Yıkama | Kadıköy | Dry Alle,,"Moda koltuk yıkama için kapıdan alım, hızlı teslim, lüks kumaş uzmanlığı. 25 yıllık deneyim ile güvenilir hizmet. Hemen arayın!",0,Medium,1.0,25.0,Add schema markup,False,0,0,Pending
https://dryallekurutemizleme.com/bolgeler/kadikoy/fenerbahce-kuru-temizleme.html,Location Landing,/Users/macos/Documents/Projeler/DryAlle/bolgeler/kadikoy/fenerbahce-kuru-temizleme.html,,Fenerbahçe Kuru Temizleme | Kadıköy | Dry Alle,,"Fenerbahçe kuru temizleme için kapıdan alım, hızlı teslim, lüks kumaş uzmanlığı. 25 yıllık deneyim ile güvenilir hizmet. Hemen arayın!",0,Medium,1.0,25.0,Add schema markup,False,0,0,Pending
https://dryallekurutemizleme.com/bolgeler/kadikoy/camlica-kuru-temizleme.html,Location Landing,/Users/macos/Documents/Projeler/DryAlle/bolgeler/kadikoy/camlica-kuru-temizleme.html,,Çamlıca Kuru Temizleme | Kadıköy | Dry Alle,,"Çamlıca kuru temizleme için kapıdan alım, hızlı teslim, lüks kumaş uzmanlığı. 25 yıllık deneyim ile güvenilir hizmet. Hemen arayın!",0,Medium,1.0,25.0,Add schema markup,False,0,0,Pending
https://dryallekurutemizleme.com/bolgeler/kadikoy/goztepe-hali-yikama.html,Location Landing,/Users/macos/Documents/Projeler/DryAlle/bolgeler/kadikoy/goztepe-hali-yikama.html,,Göztepe Halı Yıkama | Kadıköy | Dry Alle,,"Göztepe halı yıkama için kapıdan alım, hızlı teslim, lüks kumaş uzmanlığı. 25 yıllık deneyim ile güvenilir hizmet. Hemen arayın!",0,Medium,1.0,25.0,Add schema markup,False,0,0,Pending
https://dryallekurutemizleme.com/bolgeler/kadikoy/erenkoy-hali-yikama.html,Location Landing,/Users/macos/Documents/Projeler/DryAlle/bolgeler/kadikoy/erenkoy-hali-yikama.html,,Erenköy Halı Yıkama | Kadıköy | Dry Alle,,"Erenköy halı yıkama için kapıdan alım, hızlı teslim, lüks kumaş uzmanlığı. 25 yıllık deneyim ile güvenilir hizmet. Hemen arayın!",0,Medium,1.0,25.0,Add schema markup,False,0,0,Pending
https://dryallekurutemizleme.com/bolgeler/kadikoy/suadiye-hali-yikama.html,Location Landing,/Users/macos/Documents/Projeler/DryAlle/bolgeler/kadikoy/suadiye-hali-yikama.html,,Suadiye Halı Yıkama | Kadıköy | Dry Alle,,"Suadiye halı yıkama için kapıdan alım, hızlı teslim, lüks kumaş uzmanlığı. 25 yıllık deneyim ile güvenilir hizmet. Hemen arayın!",0,Medium,1.0,25.0,Add schema markup,False,0,0,Pending
